ExperimentName,Site,NDARGUID,Version,Overall_RT,Overall_ACC,HappyBlocks_RT,HappyBlocks_ACC,FearBlocks_RT,FearBlocks_ACC,NeutBlocks_RT,NeutBlocks_ACC,PlaceBlocks_RT,PlaceBlocks_ACC,Overall0back_RT,Overall0back_ACC,Happy0back_RT,Happy0back_ACC,Fear0back_RT,Fear0back_ACC,Neut0back_RT,Neut0back_ACC,Place0back_RT,Place0back_ACC,Overall2back_RT,Overall2back_ACC,Happy2back_RT,Happy2back_ACC,Fear2back_RT,Fear2back_ACC,Neut2back_RT,Neut2back_ACC,Place2back_RT,Place2back_ACC,run1Overall_RT,run1Overall_ACC,run1HappyBlocks_RT,run1HappyBlocks_ACC,run1FearBlocks_RT,run1FearBlocks_ACC,run1NeutBlocks_RT,run1NeutBlocks_ACC,run1PlaceBlocks_RT,run1PlaceBlocks_ACC,run1Happy0back_RT,run1Happy0back_ACC,run1Fear0back_RT,run1Fear0back_ACC,run1Neut0back_RT,run1Neut0back_ACC,run1Place0back_RT,run1Place0back_ACC,run1Happy2back_RT,run1Happy2back_ACC,run1Fear2back_RT,run1Fear2back_ACC,run1Neut2back_RT,run1Neut2back_ACC,run1Place2back_RT,run1Place2back_ACC,run2Overall_RT,run2Overall_ACC,run2HappyBlocks_RT,run2HappyBlocks_ACC,run2FearBlocks_RT,run2FearBlocks_ACC,run2NeutBlocks_RT,run2NeutBlocks_ACC,run2PlaceBlocks_RT,run2PlaceBlocks_ACC,run2Happy0back_RT,run2Happy0back_ACC,run2Fear0back_RT,run2Fear0back_ACC,run2Neut0back_RT,run2Neut0back_ACC,run2Place0back_RT,run2Place0back_ACC,run2Happy2back_RT,run2Happy2back_ACC,run2Fear2back_RT,run2Fear2back_ACC,run2Neut2back_RT,run2Neut2back_ACC,run2Place2back_RT,run2Place2back_ACC,Nonlure_ACC,Lure_ACC,Target_ACC,
Emo_Nback_20160913,CHLA,KGX16MTR,1.000,975.000,0.856,922.355,0.775,938.111,0.900,924.086,0.875,1110.486,0.875,886.149,0.925,871.750,1.000,830.737,0.950,826.111,0.900,1028.588,0.850,1079.365,0.787,1014.364,0.550,1058.118,0.850,1027.824,0.850,1187.833,0.900,993.000,0.762,892.167,0.600,947.222,0.900,931.000,0.750,1178.250,0.800,869.000,1.000,841.700,1.000,856.750,0.800,1209.286,0.700,1008.000,0.200,1079.125,0.800,1015.857,0.700,1154.111,0.900,960.553,0.950,941.421,0.950,929.000,0.900,918.900,1.000,1053.421,0.950,874.500,1.000,818.556,0.900,801.600,1.000,902.100,1.000,1015.778,0.900,1039.444,0.900,1036.200,1.000,1221.556,0.900,0.844,0.719,0.781,
Emo_Nback_20160913,CHLA,THZ2FDT4,3.000,763.503,0.969,686.641,0.975,690.974,0.950,731.375,1.000,948.737,0.950,748.731,0.975,613.350,1.000,734.833,0.900,682.600,1.000,962.750,1.000,778.468,0.963,763.789,0.950,651.500,1.000,780.150,1.000,933.167,0.900,811.039,0.950,724.700,1.000,775.389,0.900,737.800,1.000,1024.000,0.900,565.600,1.000,834.375,0.800,640.500,1.000,1080.400,1.000,883.800,1.000,728.200,1.000,835.100,1.000,953.500,0.800,717.772,0.988,646.579,0.950,615.000,1.000,724.950,1.000,881.000,1.000,661.100,1.000,655.200,1.000,724.700,1.000,845.100,1.000,630.444,0.900,574.800,1.000,725.200,1.000,916.900,1.000,1.000,0.906,0.938,
Emo_Nback_20160913,CUB,1K3LDK3L,1.000,1191.202,0.744,1315.710,0.775,1114.607,0.700,996.312,0.800,1352.679,0.700,1209.317,0.750,1349.375,0.800,1134.000,0.650,967.412,0.850,1412.929,0.700,1172.780,0.738,1279.800,0.750,1097.800,0.750,1029.067,0.750,1292.429,0.700,1220.242,0.775,1306.688,0.800,1254.929,0.700,1018.250,0.800,1305.438,0.800,1161.111,0.900,1379.333,0.600,904.600,1.000,1321.125,0.800,1493.857,0.700,1161.625,0.800,1207.667,0.600,1289.750,0.800,1159.614,0.713,1325.333,0.750,974.286,0.700,974.375,0.800,1415.667,0.600,1591.429,0.700,923.714,0.700,1057.143,0.700,1535.333,0.600,1092.500,0.800,1024.857,0.700,910.000,0.900,1296.000,0.600,0.688,0.781,0.562,
Emo_Nback_20160913,CUB,36E4JVZ2,3.000,894.944,0.787,833.767,0.750,893.333,0.750,840.452,0.775,997.029,0.875,904.197,0.950,878.316,0.950,869.263,0.950,867.500,0.900,995.000,1.000,880.880,0.625,756.818,0.550,934.909,0.550,803.000,0.650,999.733,0.750,893.841,0.787,845.062,0.800,946.714,0.700,856.933,0.750,926.833,0.900,875.500,1.000,897.556,0.900,869.222,0.900,812.000,1.000,794.333,0.600,1035.200,0.500,838.500,0.600,1070.375,0.800,896.048,0.787,820.857,0.700,846.625,0.800,825.000,0.800,1071.353,0.850,881.444,0.900,843.800,1.000,865.778,0.900,1178.000,1.000,711.800,0.500,851.333,0.600,772.571,0.700,919.000,0.700,0.812,0.781,0.438,
Emo_Nback_20160913,CUB,36E4JVZ2,3.000,894.944,0.787,833.767,0.750,893.333,0.750,840.452,0.775,997.029,0.875,904.197,0.950,878.316,0.950,869.263,0.950,867.500,0.900,995.000,1.000,880.880,0.625,756.818,0.550,934.909,0.550,803.000,0.650,999.733,0.750,893.841,0.787,845.062,0.800,946.714,0.700,856.933,0.750,926.833,0.900,875.500,1.000,897.556,0.900,869.222,0.900,812.000,1.000,794.333,0.600,1035.200,0.500,838.500,0.600,1070.375,0.800,896.048,0.787,820.857,0.700,846.625,0.800,825.000,0.800,1071.353,0.850,881.444,0.900,843.800,1.000,865.778,0.900,1178.000,1.000,711.800,0.500,851.333,0.600,772.571,0.700,919.000,0.700,0.969,0.875,0.438,
Emo_Nback_20160913,CUB,3GFD7GXB,4.000,1064.463,0.769,1163.906,0.800,920.485,0.825,1051.788,0.825,1143.960,0.625,970.619,0.787,1029.375,0.800,789.211,0.950,1021.158,0.950,1142.444,0.450,1163.000,0.750,1298.438,0.800,1098.643,0.700,1093.357,0.700,1144.812,0.800,1061.230,0.762,1263.846,0.650,839.941,0.850,1046.000,0.900,1169.077,0.650,1173.000,0.600,749.400,1.000,1023.500,1.000,1212.167,0.600,1341.714,0.700,969.286,0.700,1074.125,0.800,1132.143,0.700,1067.645,0.775,1095.526,0.950,1006.062,0.800,1058.733,0.750,1116.750,0.600,943.200,1.000,833.444,0.900,1018.556,0.900,1003.000,0.300,1264.778,0.900,1228.000,0.700,1119.000,0.600,1154.667,0.900,0.844,0.625,0.719,
Emo_Nback_20160913,CUB,84NCVEYA,4.000,1133.275,0.750,1052.483,0.725,1142.129,0.775,1120.207,0.725,1212.226,0.775,1042.097,0.775,962.750,0.800,1026.500,0.800,1081.600,0.750,1103.867,0.750,1230.741,0.725,1162.923,0.650,1265.467,0.750,1161.571,0.700,1313.812,0.800,1194.186,0.738,1103.143,0.700,1169.688,0.800,1258.750,0.800,1242.923,0.650,1051.750,0.800,1128.750,0.800,1335.167,0.600,1094.333,0.600,1171.667,0.600,1210.625,0.800,1212.900,1.000,1370.286,0.700,1074.361,0.762,1005.200,0.750,1112.733,0.750,949.692,0.650,1190.056,0.900,873.750,0.800,924.250,0.800,912.556,0.900,1110.222,0.900,1155.429,0.700,1328.143,0.700,1033.250,0.400,1269.889,0.900,0.875,0.781,0.625,
Emo_Nback_20160913,CUB,97YY6Y1R,4.000,1027.530,0.838,1124.971,0.850,950.030,0.825,972.314,0.875,1064.312,0.800,923.246,0.863,997.471,0.850,891.882,0.850,847.667,0.900,960.412,0.850,1138.231,0.812,1252.471,0.850,1011.812,0.800,1104.294,0.850,1182.067,0.750,1006.887,0.887,1050.053,0.950,909.353,0.850,958.333,0.900,1107.588,0.850,942.500,1.000,832.556,0.900,857.222,0.900,984.000,1.000,1169.556,0.900,995.750,0.800,1059.444,0.900,1284.143,0.700,1050.794,0.787,1219.867,0.750,993.250,0.800,987.118,0.850,1015.267,0.750,1076.000,0.700,958.625,0.800,838.111,0.900,926.714,0.700,1345.750,0.800,1027.875,0.800,1154.750,0.800,1092.750,0.800,0.844,0.906,0.656,
Emo_Nback_20160913,CUB,CLA2CZ2U,4.000,1105.066,0.756,1114.000,0.775,1060.571,0.875,1071.531,0.800,1207.391,0.575,1030.377,0.762,1019.294,0.850,957.158,0.950,991.688,0.800,1274.667,0.450,1181.000,0.750,1229.000,0.700,1183.375,0.800,1151.375,0.800,1164.143,0.700,1129.889,0.787,1177.000,0.800,1035.167,0.900,1057.235,0.850,1312.083,0.600,1203.429,0.700,919.200,1.000,903.889,0.900,1444.800,0.500,1156.444,0.900,1180.125,0.800,1229.750,0.800,1217.286,0.700,1078.103,0.725,1046.800,0.750,1087.471,0.850,1087.733,0.750,1093.182,0.550,890.400,1.000,999.333,0.900,1104.571,0.700,1062.000,0.400,1359.600,0.500,1186.625,0.800,1073.000,0.800,1111.000,0.700,0.906,0.250,0.812,
Emo_Nback_20160913,CUB,DA6VVDEG,1.000,1177.364,0.806,1090.742,0.775,1141.500,0.950,1151.710,0.775,1344.379,0.725,1099.155,0.887,1020.333,0.900,1077.650,1.000,1124.222,0.900,1192.333,0.750,1273.103,0.725,1188.231,0.650,1212.444,0.900,1189.769,0.650,1507.286,0.700,1165.877,0.812,1055.688,0.800,1181.450,1.000,1028.333,0.750,1416.929,0.700,962.333,0.900,1094.000,1.000,1029.600,1.000,1337.625,0.800,1175.714,0.700,1268.900,1.000,1025.800,0.500,1522.667,0.600,1189.031,0.800,1128.133,0.750,1097.111,0.900,1267.375,0.800,1276.667,0.750,1078.333,0.900,1061.300,1.000,1242.500,0.800,1026.286,0.700,1202.833,0.600,1141.875,0.800,1292.250,0.800,1495.750,0.800,0.906,0.750,0.562,
